time,frequency,confidence
5.3300000000,141.8306978031,0.9190577865
5.3400000000,143.6012935563,0.9258524776
5.3500000000,144.8705647471,0.9331978559
5.3600000000,145.5357005518,0.9585584402
5.3700000000,145.8222331524,0.9613398910
5.3800000000,145.8272976694,0.9556329846
5.3900000000,145.4924151472,0.9592628479
5.4000000000,144.8485579827,0.9234091043
5.4100000000,144.2511407075,0.9285567999
5.4200000000,143.2904055563,0.8930167556
5.4300000000,141.5529077972,0.8711847067
5.4400000000,139.5466531180,0.9017837048
5.4500000000,138.3688056468,0.9264377356
5.4600000000,137.7386833198,0.9232535958
5.4700000000,137.1984783612,0.9163893461
5.4800000000,136.7185038067,0.8809829354
5.4900000000,136.5706686077,0.8658681512
5.5000000000,135.8174904256,0.8800873160
5.5100000000,133.1403231223,0.7835690379
5.5200000000,130.2374130602,0.5985499024
5.5300000000,126.0435177258,0.1783112884
5.5400000000,136.1290418678,0.1432360113
5.5500000000,150.8652380058,0.1182913706
5.5600000000,164.6704934935,0.1405835450
5.5700000000,176.6873179171,0.4295602441
5.5800000000,174.8171828033,0.7606130838
5.5900000000,173.3306613245,0.6844845414
5.6000000000,167.7058758999,0.4739497304
5.6100000000,161.9111612984,0.3936978877
5.6200000000,157.0196212740,0.1833026260
5.6300000000,159.5283875306,0.0747784898
5.6400000000,168.1541048941,0.1604634672
5.6500000000,174.6407332639,0.1670824140
5.6600000000,180.7767332845,0.2266758233
5.6700000000,188.4798966405,0.2318643630
5.6800000000,192.4698649161,0.3754753470
5.6900000000,198.9511013634,0.3435033858
5.7000000000,203.2692520928,0.2921402454
5.7100000000,220.3785365954,0.0410961583
5.7200000000,235.9258387199,0.3902237713
5.7300000000,260.5601016928,0.1703900546
5.7400000000,278.2909350825,0.1277357340
5.7500000000,277.8116548891,0.2939644158
5.7600000000,275.9918735827,0.2449249178
5.7700000000,263.7612563191,0.3171717227
5.7800000000,262.8769701253,0.2696752548
5.7900000000,261.4651552046,0.3604828417
5.8000000000,240.0623381202,0.3851499259
5.8100000000,210.2291615995,0.4033530056
5.8200000000,184.4325017710,0.2298813462
5.8300000000,168.5517905165,0.6148579717
5.8400000000,150.0584201119,0.3963672221
5.8500000000,130.8531385794,0.1607193500
5.8600000000,129.6913812989,0.2512814999
5.8700000000,129.9845145945,0.1622261554
5.8800000000,127.2749309157,0.3608513474
5.8900000000,122.6082402470,0.1767011434
5.9000000000,137.6337067867,0.0875466615
5.9100000000,154.5619719164,0.0524585955
5.9200000000,156.2690202630,0.2692488134
5.9300000000,157.2380551589,0.2591033578
5.9400000000,160.0416472554,0.3520519137
5.9500000000,159.6628343688,0.0676952004
5.9600000000,160.1490651844,0.0540471524
5.9700000000,160.1891300247,0.0820403695
5.9800000000,160.5180156649,0.1324711442
5.9900000000,159.0066426242,0.5160343647
6.0000000000,159.3488398810,0.2503471971
6.0100000000,157.2940387454,0.0348234586
6.0200000000,158.3787840936,0.1354103237
6.0300000000,158.9686239600,0.5115382671
6.0400000000,157.1100864341,0.4811529815
6.0500000000,158.2242366422,0.4762382805
6.0600000000,154.3120884111,0.6339773536
6.0700000000,150.6135047363,0.4637317657
6.0800000000,150.9656697475,0.2401455641
6.0900000000,151.6687358107,0.5913583636
6.1000000000,151.2718125924,0.5994756222
6.1100000000,150.8280560679,0.2971211672
6.1200000000,150.4419653740,0.3061308563
6.1300000000,148.8242624767,0.0546856746
6.1400000000,147.3616239290,0.1930660754
6.1500000000,147.4083466546,0.3510234058
6.1600000000,152.3560303815,0.4557352066
6.1700000000,155.1027760425,0.6555717587
6.1800000000,155.0807700372,0.7251796722
6.1900000000,156.6610931749,0.6757379174
6.2000000000,153.6794330914,0.3294134438
6.2100000000,153.6061695406,0.0709745511
6.2200000000,137.9716768256,0.0314037576
6.2300000000,139.7490374562,0.0834275708
6.2400000000,140.1399319022,0.3264619708
6.2500000000,141.4129085488,0.3575021625
6.2600000000,143.4938473022,0.2689424455
6.2700000000,146.0463257950,0.1718953848
6.2800000000,149.2848332715,0.1067825705
6.2900000000,153.6853316592,0.0593126900
6.3000000000,153.2945643093,0.1473426521
6.3100000000,150.8508414113,0.0923256278
6.3200000000,149.7945958849,0.0818465725
6.3300000000,153.5412873054,0.0927112028
6.3400000000,161.5184591616,0.3931946158
6.3500000000,155.8084687428,0.2915176153
6.3600000000,151.5635296661,0.2142923772
6.3700000000,141.6557919027,0.0477662943
6.3800000000,132.7105470758,0.0597923622
6.3900000000,129.4664579329,0.1632032394
6.4000000000,128.9728613275,0.5550998449
6.4100000000,129.5880130256,0.3635340631
6.4200000000,130.9476544257,0.2249624580
6.4300000000,132.1059163968,0.0662161484
6.4400000000,131.5460080204,0.0461857393
6.4500000000,129.9090590963,0.1234052628
6.4600000000,129.2263934440,0.0203860309
6.4700000000,128.3870596971,0.1314217746
6.4800000000,129.3569963960,0.1140074208
6.4900000000,129.8622317704,0.1313499957
6.5000000000,131.5161463834,0.1478501260
6.5100000000,138.4792718966,0.2882173955
6.5200000000,153.0772900647,0.0614302829
6.5300000000,158.9674324728,0.1747088581
6.5400000000,154.5476530843,0.3113630116
6.5500000000,153.1765009864,0.2730164528
6.5600000000,148.0757931419,0.0952945724
6.5700000000,141.4099486882,0.3464460969
6.5800000000,136.0798603473,0.2234515250
6.5900000000,132.3910669418,0.0421316288
6.6000000000,135.2917515796,0.0529910699
6.6100000000,140.9741058889,0.0559596792
6.6200000000,142.8739887352,0.2983570099
